Inf;Jogador;Nação;Clube;Posição;Expira;Data de Início do Contrato;Bravura;Agressividade;(Tendência) para Saídas da Baliza;Lançamentos;Idade;Posição;Pé Preferido;Nação de Nascimento;Altura;Região Nascimento;Data Nasc.;Melhor Pos;Susceptibilidade a Lesões;Emprestado Por;Último Clube;2ª Nac;Selecção Nacional;Unique ID;Técnica;Desarme;Marcação de Penáltis;Passe;Marcação;Lançamentos Longos;Remates de Longe;Cabeceamento;Livres;Primeiro Toque;Finalização;Finta;Cruzamentos;Cantos;Força;Resistência;Velocidade;Aptidão Física;Impulsão;Equilíbrio;Agilidade;Aceleração;Índice de Trabalho;Visão de Jogo;Posicionamento;Trabalho de Equipa;Sem Bola;Liderança;Imprevisibilidade;Determinação;Decisões;Concentração;Compostura;Antecipação;Saídas a Punhos;Reflexos;Pontapé;Um Para Um;Jogo de Mãos;Comunicação;Alcance Aéreo
Prt;Cleiton;BRA;RB Bragantino;GR;31/12/2027;26/1/2024;13-19;7-11;11-15;12-16;28;GR;Pé Direito;Brasil;1,90 m;Santa Catarina;19/8/1997;GR;Abaixo da Média;;Atlético Mineiro;;;19239596;10-14;1-2;1-4;8-12;1-4;10-14;1-5;1-2;3-9;7-11;1-7;3-9;1-3;1-5;12-16;15-19;7-11;12-16;15-19;10-16;9-15;8-12;14-18;8-12;10-16;12-16;3-9;7-11;2-6;9-13;9-13;8-12;8-12;8-14;14-18;12-18;7-13;11-15;14-18;9-13;8-12
;Carlos Coronel;PAR;São Paulo;GR;31/12/2027;29/12/2025;14-18;9-15;10-14;14-18;29;GR;Pé Direito;Brasil;1,92 m;Mato Grosso do Sul;29/12/1996;GR;Abaixo da Média;;New York;Brasil;A;19184434;7-11;1-5;1-5;10-16;1-5;13-17;11-15;2-6;5-9;8-12;1-5;3-7;1-5;1-5;14-18;11-15;8-12;12-18;12-18;16-20;9-13;8-14;11-15;7-11;14-18;12-16;1;8-14;1-5;10-14;9-13;8-14;8-12;6-10;9-13;14-18;10-14;6-12;11-17;9-13;12-16
;Joaquín Correa;ARG;Botafogo;MO (EC), PL (C);31/12/2027;9/6/2025;8-12;5-11;1-4;1-5;31;MO (EC), PL (C);Pé Direito;Argentina;1,88 m;Tucumán;13/8/1994;PL (C);Acima da Média;;Inter;Itália;;14042683;15-19;3-7;8-12;12-18;1-6;2-6;11-15;9-13;10-14;14-18;12-16;11-15;9-15;9-15;8-12;10-14;13-17;12-18;8-14;10-14;10-14;13-19;5-9;11-15;5-9;9-13;9-13;5-11;13-19;10-14;8-12;4-10;9-13;8-12;1-3;3-7;1;1-4;1-6;1-3;1-4
;Cristian;BRA;Corinthians;M (C);24/2/2028;24/2/2025;-;-;-;-;17;M (C);Pé Preferido Desconhecido;Brasil;1,76 m;;2/8/2008;M (C);Abaixo da Média;;-;;;2000503816;-;6-16;-;6-12;-;-;1-9;-;-;10-18;-;-;-;-;7-15;-;-;-;-;-;-;-;6-14;9-19;-;-;-;-;4-12;-;-;-;-;-;-;-;-;-;-;-;-
;Tomás Cuello;ARG;Atlético Mineiro;M/MO (DE);31/12/2028;29/1/2025;7-13;6-10;1-5;3-7;25;M/MO (DE);Pé Direito;Argentina;1,76 m;Tucumán;5/3/2000;M (E);Acima da Média;;Athletico-PR;;;14178597;9-13;6-12;7-11;10-14;9-13;6-10;10-14;7-13;5-11;13-17;7-13;13-17;10-14;8-12;9-13;9-13;12-18;13-17;7-11;7-13;12-16;13-17;9-13;10-16;4-10;10-16;12-16;5-9;13-17;12-16;7-11;9-13;12-16;10-14;1;1-5;1-3;1-3;1-5;2-6;1-6
;Carlos Cuesta;COL;Vasco da Gama;D (C);30/6/2028;5/2/2025;12;16;1;3;26;D (C);Pé Direito;Colômbia;1,79 m;Andina;9/3/1999;D (C);Alta;Galatasaray;KRC Genk;;;76047487;12;14;11;12;15;11;10;14;3;11;8;10;8;8;15;13;12;14;11;14;12;13;12;10;13;11;8;13;5;13;12;12;12;12;2;2;3;3;1;2;2
;Braian Cufré;ARG;Remo;D/DA (E);31/12/2026;29/12/2025;12-18;11-15;1-3;2-6;29;D/DA (E);Somente Pé Esquerdo;Argentina;1,78 m;Buenos Aires;15/12/1996;D (E);Média;;Central Córdoba (SdE);;;14131295;12-16;6-10;6-12;11-15;9-13;11-15;13-17;4-8;10-16;10-14;6-12;8-14;9-13;9-13;10-14;15-19;10-14;13-17;7-11;10-16;9-15;12-16;14-18;8-12;9-15;9-13;9-15;6-10;10-14;11-15;12-16;10-14;11-15;8-14;1-5;1-7;1-5;1-4;1-5;1-5;1-2
;Cuiabano;BRA;Vasco da Gama;D/DA/M/MO (E);30/6/2030;1/9/2025;14;12;2;2;22;D/DA/M/MO (E);Pé Esquerdo;Brasil;1,79 m;Mato Grosso;16/2/2003;D (E);Acima da Média;Nottingham Forest;Botafogo;;;2000064082;13;10;9;12;11;9;12;9;11;13;11;13;13;8;14;14;13;15;9;13;13;14;14;12;11;13;14;10;12;13;12;12;13;12;1;1;4;2;2;3;3
;Cuiabano;BRA;São Paulo;D/DA (E);30/4/2028;12/5/2025;-;-;-;-;17;D/DA (E);Pé Preferido Desconhecido;Brasil;1,78 m;Mato Grosso;28/4/2008;D (E);Média;;Grêmio;;;2000378983;-;4-12;-;-;1-11;-;-;-;-;9-15;-;-;7-17;-;5-11;-;7-15;-;-;-;-;10-20;-;-;9-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Da Mata;BRA;Flamengo;D (C);31/7/2027;21/2/2024;-;-;-;-;19;D (C);Pé Preferido Desconhecido;Brasil;1,85 m;São Paulo;13/3/2006;D (C);Acima da Média;;Grêmio;;;2000277571;-;5-14;-;-;10-17;-;-;5-14;-;3-10;-;-;-;-;2-9;-;-;-;12-19;-;-;-;-;-;9-15;-;-;-;-;1-3;-;-;-;-;-;-;-;-;-;-;-
;Da Silva;BRA;Chapecoense;D/DA (E), MD;31/12/2026;1/7/2025;6-11;3-9;-;-;26;D/DA (E), MD;Somente Pé Esquerdo;Brasil;1,77 m;Ceará;16/11/1999;MD;Alta;;Concórdia;;;2000210542;7-14;9-16;-;9-15;9-14;1-5;-;1-8;-;3-8;-;5-10;5-11;-;4-9;12-19;8-15;11-17;8-13;5-10;10-15;10-16;7-14;-;7-12;2-9;3-8;-;-;14-19;8-15;6-11;1-4;9-14;-;-;-;-;-;-;-
;Daniel;BRA;EC Bahia;D/DA (E);31/12/2028;9/12/2025;-;-;-;-;18;D/DA (E);Pé Preferido Desconhecido;Brasil;1,79 m;;15/8/2007;D (E);Média;;-;;;2000272488;-;12-20;-;-;5-13;-;-;-;-;11-18;-;-;6-12;-;10-17;-;8-17;-;-;-;-;10-16;-;-;1-10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
D;Daniel Borges;BRA;Mirassol;D/DA (D);31/12/2026;3/1/2025;10-14;12-16;1-3;1-5;32;D/DA (D);Pé Direito;Brasil;1,74 m;São Paulo;23/3/1993;D (D);Abaixo da Média;;Botafogo;;;19171782;8-14;9-13;9-13;12-16;8-12;10-16;5-11;6-10;10-14;9-15;7-11;9-13;12-16;9-13;7-13;10-16;11-15;14-18;2-6;9-13;11-15;14-18;9-15;9-13;8-12;11-15;10-14;6-10;10-14;10-16;9-15;8-12;10-16;10-14;1-4;2-6;1-5;1-4;2-6;1-6;1-5
;Daniel Fuzato;BRA;Vasco da Gama;GR;31/12/2026;7/1/2025;14;11;13;13;28;GR;Somente Pé Direito;Brasil;1,91 m;São Paulo;4/7/1997;GR;Baixo;;Eibar;Itália;;19220270;9;2;1;10;2;2;2;1;8;9;2;6;2;5;14;11;12;15;15;8;13;12;13;7;13;14;1;9;13;4;9;11;13;13;10;14;12;12;12;10;12
;Daniel Gruber;BRA;Coritiba;MD, M (C);31/12/2027;30/12/2024;-;-;-;-;18;MD, M (C);Pé Preferido Desconhecido;Brasil;1,68 m;;31/1/2007;M (C);Acima da Média;;-;;;2000433108;-;1-9;-;6-14;-;-;2-11;-;-;4-11;-;-;-;-;1-6;-;-;-;-;-;-;-;12-20;4-13;-;-;-;-;5-12;-;-;-;-;-;-;-;-;-;-;-;-
;Daniel Sales;BRA;Flamengo;D (D);1/12/2028;1/12/2024;-;-;-;-;19;D (D);Pé Preferido Desconhecido;Brasil;1,78 m;Mato Grosso;23/6/2006;D (D);Acima da Média;;-;;;2000239562;-;9-18;-;-;6-14;-;-;-;-;12-19;-;-;8-14;-;8-15;-;11-20;-;-;-;-;10-16;-;-;4-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Daniel Thuram;BRA;Flamengo;D (C);31/12/2027;1/7/2025;-;-;-;-;16;D (C);Pé Preferido Desconhecido;Brasil;1,86 m;Rio de Janeiro;31/3/2009;D (C);Acima da Média;;-;;;2002043278;-;6-14;-;-;9-15;-;-;2-10;-;4-12;-;-;-;-;2-10;-;-;-;9-15;-;-;-;-;-;10-20;-;-;-;-;13-20;-;-;-;-;-;-;-;-;-;-;-
;Danielzinho;BRA;São Paulo;MD, M (C);31/12/2027;29/12/2025;10-14;8-14;1-5;1-4;31;MD, M (C);Pé Direito;Brasil;1,66 m;São Paulo;4/11/1994;M (C);Abaixo da Média;;Mirassol;;;19227023;10-14;9-13;2-6;12-18;8-14;6-10;9-13;7-11;11-15;10-14;11-15;9-13;9-15;6-12;6-10;14-18;11-15;11-17;1-6;9-13;11-15;12-18;14-18;12-16;11-15;14-18;12-16;11-17;7-13;11-15;9-13;6-12;12-16;8-12;1-3;2-6;1-3;1-3;1-5;1-3;1-5
;Danillo;BRA;Botafogo;D (C);30/6/2028;10/6/2025;-;-;-;-;18;D (C);Pé Preferido Desconhecido;Brasil;1,86 m;;22/1/2007;D (C);Abaixo da Média;;RB Bragantino;;;2000378233;-;11-20;-;-;9-17;-;-;8-17;-;6-13;-;-;-;-;10-17;-;-;-;6-14;-;-;-;-;-;6-15;-;-;-;-;3-10;-;-;-;-;-;-;-;-;-;-;-
;Danillo Gabriel;BRA;Grêmio;MD, M (C);31/12/2028;4/11/2025;-;-;-;-;17;MD, M (C);Pé Preferido Desconhecido;Brasil;1,80 m;Rio de Janeiro;12/2/2008;MD;Acima da Média;;-;;;2000487374;-;10-16;-;9-17;-;-;1-9;-;-;8-18;-;-;-;-;6-16;-;-;-;-;-;-;-;2-12;6-12;-;-;-;-;1-7;-;-;-;-;-;-;-;-;-;-;-;-
;Danilo;BRA;Botafogo;MD, M (C);17/7/2029;18/7/2025;9-13;13-17;1-4;1-5;24;MD, M (C);Pé Esquerdo;Brasil;1,77 m;Bahia;29/4/2001;M (C);Média;;Nottingham Forest;;;19371902;10-16;11-15;7-11;14-18;9-13;4-10;7-13;9-13;10-14;11-17;7-11;11-15;11-15;6-10;9-15;11-17;10-14;13-17;4-8;11-15;12-16;14-18;10-16;11-15;11-15;13-17;10-14;8-12;8-12;11-17;9-15;9-13;11-17;13-17;1-5;2-6;1-4;1-2;3-7;1-5;1-4
;Danilo;BRA;Flamengo;D (DEC);31/12/2026;29/1/2025;13-17;7-11;1-5;1-5;34;D (DEC);Pé Direito;Brasil;1,84 m;Minas Gerais;15/7/1991;D (C);Acima da Média;;Juventus;;;19099575;11-15;12-16;11-15;9-13;12-18;4-10;9-13;11-15;3-7;9-15;6-10;11-15;9-13;2-8;8-14;10-14;10-14;10-14;10-16;10-14;11-15;7-11;12-16;11-15;14-18;12-16;12-16;12-16;10-16;12-18;12-16;13-19;8-14;15-19;1-4;1-3;3-7;1-5;1;1-4;1-5
;Danilo;BRA;Cruzeiro;PL (C);31/12/2027;29/12/2025;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;Brasil;1,80 m;São Paulo;25/2/2007;PL (C);Alta;;SKA Brasil;;;2000319811;-;-;-;4-10;-;-;-;6-13;-;7-15;9-18;-;-;-;1-7;-;6-13;-;6-12;-;-;11-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
For;Davi Alves;BRA;Athletico-PR;PL (C);31/12/2026;1/9/2025;-;-;-;-;17;PL (C);Pé Preferido Desconhecido;Brasil;1,82 m;Distrito Federal;12/10/2008;PL (C);Média;;Vila Nova;;;2000490683;-;-;-;5-11;-;-;-;8-18;-;10-18;4-14;-;-;-;9-17;-;8-18;-;6-14;-;-;7-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Davi Barbosa;BRA;Vitória;GR;31/12/2027;17/4/2025;-;-;8-17;9-16;19;GR;Pé Preferido Desconhecido;Brasil;1,94 m;Bahia;2/3/2006;GR;Abaixo da Média;;-;;;2000308455;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2-9;4-13;8-14;-;7-13;-;8-17
Les;Davi Gomes;BRA;RB Bragantino;MO (DE);31/3/2030;10/4/2025;-;-;-;-;20;MO (DE);Pé Preferido Desconhecido;Brasil;1,72 m;Rio de Janeiro;6/6/2005;MO (E);Alta;;Água Santa;;;2000442763;-;-;-;3-12;-;-;-;-;-;8-14;1-5;11-20;2-11;-;-;-;12-19;-;-;-;12-20;6-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Davi Gomes;BRA;Vasco da Gama;MO (D);31/7/2027;1/8/2024;6;14;2;3;17;MO (D);Pé Direito;Brasil;1,71 m;;29/2/2008;MO (D);Acima da Média;;-;;;2000463755;10;7;1;9;8;9;10;8;9;11;5;11;9;9;7;10;12;10;8;10;12;12;11;10;7;10;12;10;9;10;9;9;9;10;1;1;2;3;3;2;2
;Davi Lucas;BRA;RB Bragantino;MO (C);31/12/2026;22/4/2024;-;-;-;-;17;MO (C);Pé Preferido Desconhecido;Brasil;1,68 m;;14/2/2008;MO (C);Alta;;Cruzeiro;;;2000385683;6-14;-;-;1-8;-;-;4-12;-;-;9-15;3-11;-;-;-;-;-;-;-;-;-;-;-;-;10-18;-;-;-;-;8-14;-;-;-;7-13;-;-;-;-;-;-;-;-
;Davi Pena;BRA;São Paulo;M (C), MO (EC);30/3/2028;12/5/2025;-;-;-;-;16;M (C), MO (EC);Pé Preferido Desconhecido;Brasil;1,68 m;Goiás;12/1/2009;MO (C);Acima da Média;;-;;;2000523587;-;-;-;10-18;-;-;-;-;-;9-19;7-13;5-13;5-13;-;-;-;10-16;-;-;-;8-16;12-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Davi Schuindt;BRA;Fluminense;D (C);31/12/2028;20/10/2022;-;-;-;-;21;D (C);Pé Preferido Desconhecido;Brasil;1,83 m;;26/4/2004;D (C);Acima da Média;;-;;;2000079353;-;10-16;-;-;10-15;-;-;11-17;-;6-11;-;-;-;-;6-11;-;-;-;9-14;-;-;-;-;-;6-12;-;-;-;-;12-17;-;-;-;-;-;-;-;-;-;-;-
;David;BRA;Vasco da Gama;MO (DE), PL (C);31/12/2028;1/7/2025;12;12;1;2;30;MO (DE), PL (C);Pé Direito;Brasil;1,79 m;Espírito Santo;17/10/1995;MO (E);Alta;;Vitória;;;19249510;12;8;9;11;10;3;11;5;5;13;11;13;10;7;13;12;15;10;8;8;14;14;14;12;10;10;14;3;13;10;10;9;10;11;2;3;2;2;1;2;3
;David;BRA;Chapecoense;D (E), MD, M (C);30/4/2028;8/9/2025;-;-;-;-;20;D (E), MD, M (C);Pé Preferido Desconhecido;Brasil;1,78 m;Santa Catarina;17/8/2005;MD;Média;;-;;;2000283565;-;5-12;-;12-18;-;-;4-11;-;-;6-14;-;-;-;-;1-9;-;-;-;-;-;-;-;12-19;1-8;-;-;-;-;1-7;-;-;-;-;-;-;-;-;-;-;-;-
;David Braga;BRA;Remo;M/MO (C);31/12/2027;29/12/2025;10-14;6-12;2-6;1-4;24;M/MO (C);Pé Esquerdo;Brasil;1,86 m;;11/12/2001;MO (C);Abaixo da Média;;Athletic (MG);;;2000139291;11-15;9-13;8-14;8-14;9-13;3-7;9-13;13-17;7-11;10-14;8-12;8-14;5-11;9-13;13-17;11-15;10-14;10-16;11-15;9-13;9-15;7-13;13-17;10-14;5-9;14-18;12-18;4-10;8-12;12-16;11-15;10-14;11-15;8-14;1-3;1-3;1-5;1-5;1-5;1-5;1-5
;David Brendo;BRA;Grêmio;D (C);31/12/2028;1/2/2025;-;-;-;-;16;D (C);Pé Preferido Desconhecido;Brasil;1,87 m;Goiás;15/1/2009;D (C);Alta;;-;;;2000533968;-;11-17;-;-;5-13;-;-;11-17;-;4-14;-;-;-;-;4-14;-;-;-;7-15;-;-;-;-;-;9-15;-;-;-;-;1-11;-;-;-;-;-;-;-;-;-;-;-
;David Duarte;BRA;EC Bahia;D (C);31/12/2027;11/1/2024;12-16;11-15;1-4;1-5;31;D (C);Pé Direito;Brasil;1,92 m;Rio Grande do Sul;24/1/1994;D (C);Abaixo da Média;;Fluminense;;;19273581;8-14;11-15;9-13;12-16;10-14;10-16;4-10;13-17;5-9;10-16;5-9;6-10;6-10;2-6;15-20;8-14;10-14;15-19;13-17;10-14;8-12;10-14;11-17;5-9;10-14;13-17;7-11;12-16;6-10;11-17;6-12;7-11;10-16;10-14;1-3;1-3;1-3;1;3-7;1-7;1-5
;David Martins;BRA;EC Bahia;MO (DEC);31/12/2028;14/12/2024;-;-;-;-;18;MO (DEC);Pé Preferido Desconhecido;Brasil;1,75 m;Rio de Janeiro;15/9/2007;MO (C);Acima da Média;;-;;;2000501174;11-19;-;-;7-16;-;-;10-18;-;-;8-14;7-14;-;-;-;-;-;-;-;-;-;-;-;-;13-20;-;-;-;-;11-17;-;-;-;7-13;-;-;-;-;-;-;-;-
;David Nogueira;BRA;Santos;PL (C);31/7/2028;29/8/2025;-;-;-;-;16;PL (C);Pé Preferido Desconhecido;Portugal;1,76 m;Área Metropolitana de Lisboa;21/1/2009;PL (C);Média;;-;Portugal;;2000488948;-;-;-;8-18;-;-;-;7-15;-;8-14;14-20;-;-;-;7-13;-;7-15;-;1-10;-;-;9-19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;David Viana;BRA;Flamengo;PL (C);16/5/2026;30/12/2024;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;Brasil;1,71 m;Ceará;18/5/2007;PL (C);Alta;;-;;;2000525101;-;-;-;1-7;-;-;-;10-19;-;7-14;3-12;-;-;-;4-11;-;10-19;-;1-7;-;-;8-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Giorgian De Arrascaeta;URU;Flamengo;M (E), MO (EC);31/12/2028;7/11/2025;8-14;8-12;1-3;1-4;31;M (E), MO (EC);Pé Direito;Uruguai;1,73 m;Río Negro;1/6/1994;MO (C);Acima da Média;;Cruzeiro;Itália;A;78059800;17-20;3-7;9-15;15-19;2-6;2-6;12-16;8-12;10-16;14-18;12-18;13-19;11-15;12-16;8-12;11-15;8-12;8-12;10-14;10-16;12-18;11-15;12-16;12-16;6-12;9-13;10-16;13-17;15-19;12-16;13-17;10-14;10-14;13-19;3-7;1-5;1-3;1-3;1-3;1-3;1-3
Prt;Nicolás de la Cruz;URU;Flamengo;M (EC), MO (C);31/12/2028;1/1/2024;12-16;7-11;1-3;1-4;28;M (EC), MO (C);Pé Direito;Uruguai;1,67 m;Montevideo;1/6/1997;M (C);Alta;;River Plate;Argentina;;78079444;13-17;7-11;12-16;11-15;3-9;2-8;13-17;3-7;12-16;11-17;10-14;15-19;8-12;12-18;1-7;11-15;11-15;7-11;5-11;9-13;15-19;10-14;12-16;12-16;8-12;11-15;13-17;3-7;14-20;10-16;11-15;10-16;8-14;13-17;1-3;1-5;2-6;1-7;1-3;1-4;2-6
For;Dell;BRA;EC Bahia;PL (C);31/12/2026;1/11/2025;-;-;-;-;17;PL (C);Pé Preferido Desconhecido;Brasil;1,75 m;;9/6/2008;PL (C);Acima da Média;;-;;;2000378966;-;-;-;8-18;-;-;-;6-14;-;9-15;12-20;-;-;-;6-12;-;8-16;-;2-12;-;-;10-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Denilson;BRA;Mirassol;M/MO (C);31/12/2028;29/12/2025;9-13;8-12;1-3;1-3;24;M/MO (C);Somente Pé Direito;Brasil;1,80 m;Piauí;23/3/2001;MO (C);Acima da Média;;Cuiabá;;;19354891;9-15;8-14;9-13;13-17;11-15;7-11;10-16;6-12;8-12;8-12;10-14;11-15;10-14;12-16;9-13;12-18;9-15;11-15;9-13;9-13;11-15;11-15;11-17;9-15;11-15;9-15;11-15;9-13;13-17;4-8;10-16;11-15;9-13;9-13;1-5;1-4;1-4;2-6;1-5;1-4;1-3
;Denis Marfo;GHA;SC Internacional;D (C), MD;31/12/2028;1/7/2025;-;-;-;-;19;D (C), MD;Pé Preferido Desconhecido;Gana;1,76 m;Central Region;28/1/2006;MD;Abaixo da Média;;-;;S-20;2002043194;-;5-12;-;9-15;-;-;7-14;-;-;6-14;-;-;-;-;8-16;-;-;-;-;-;-;-;16-20;2-9;-;-;-;-;4-10;-;-;-;-;-;-;-;-;-;-;-;-
Trn;Denner;BRA;Corinthians;D/DA (E);14/3/2027;15/4/2024;-;-;-;-;17;D/DA (E);Pé Preferido Desconhecido;Brasil;1,84 m;;25/2/2008;D (E);Acima da Média;;-;;;2000366429;-;6-14;-;-;4-10;-;-;-;-;9-17;-;-;10-16;-;1-9;-;5-13;-;-;-;-;9-15;-;-;12-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Memphis Depay;NED;Corinthians;MO (EC), PL (C);31/7/2026;9/9/2024;12-14;8-10;1-4;1;31;MO (EC), PL (C);Pé Direito;Países Baixos;1,76 m;Zuid-Holland;13/2/1994;MO (E);Alta;;Atlético Madrid;Gana;A;37024470;17;1-4;14;15;3-5;4-6;14;8-11;14;15;14;15;13;13;13-15;13;15;10-12;9-11;14;14;14;12;14;4-6;9-12;13;12-14;18;15;10-13;12-14;10-12;12-14;1-4;2-4;2-4;3-5;1-3;1-3;1-4
;Derick;BRA;Palmeiras;D/DA (E);30/4/2028;1/5/2025;-;-;-;-;17;D/DA (E);Pé Preferido Desconhecido;Brasil;1,77 m;São Paulo;11/5/2008;D (E);Alta;;-;;;2000471951;-;6-14;-;-;5-11;-;-;-;-;9-17;-;-;9-15;-;2-10;-;5-13;-;-;-;-;12-18;-;-;6-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Enzo Díaz;ARG;São Paulo;D/DA (E);31/12/2028;29/12/2025;14-18;13-19;2-6;1-3;30;D/DA (E);Pé Esquerdo;Argentina;1,67 m;Buenos Aires;7/12/1995;D (E);Abaixo da Média;;River Plate;;;14184324;11-15;12-16;7-11;11-17;8-14;11-15;6-10;9-13;12-16;10-14;9-13;6-10;10-16;8-14;11-15;14-18;12-16;14-20;3-9;11-15;9-13;11-17;14-18;6-10;13-17;10-14;7-11;10-16;4-10;10-14;8-12;8-14;9-13;9-13;1-3;4-8;1-2;1-3;1-6;1-4;1-4
;Lautaro Díaz;ARG;Santos;M/MO (D), PL (C);31/12/2028;11/6/2024;13-17;12-16;1-3;1-4;27;M/MO (D), PL (C);Pé Direito;Argentina;1,81 m;;21/5/1998;MO (D);Alta;Cruzeiro;Independiente del Valle;;;14221703;9-13;5-9;11-15;8-12;5-11;2-8;9-13;6-10;7-11;8-14;8-12;11-15;7-11;5-11;5-11;12-16;12-16;8-12;6-12;8-12;14-18;11-15;13-17;9-13;7-11;14-18;13-17;7-11;9-15;9-15;8-12;11-17;10-16;15-19;1-5;1-4;3-7;1-6;1-3;1-4;1-4
;Matthew Díaz;ECU;São Paulo;M/MO (C);25/4/2027;28/7/2025;-;-;-;-;18;M/MO (C);Pé Preferido Desconhecido;Equador;1,73 m;Imbabura;17/3/2007;MO (C);Alta;;Independiente del Valle;;S-20;2000484168;7-14;-;-;9-15;-;-;6-13;-;-;13-20;6-15;-;-;-;-;-;-;-;-;-;-;-;-;12-20;-;-;-;-;9-17;-;-;-;5-12;-;-;-;-;-;-;-;-
;Diego;BRA;Flamengo;MD, M (C);31/12/2027;1/7/2025;-;-;-;-;17;MD, M (C);Pé Preferido Desconhecido;Brasil;1,79 m;;24/5/2008;MD;Média;;River Plate;;;2002043473;-;11-20;-;10-16;-;-;5-13;-;-;14-20;-;-;-;-;5-13;-;-;-;-;-;-;-;2-10;10-20;-;-;-;-;3-11;-;-;-;-;-;-;-;-;-;-;-;-
;Diego Ahmed;BRA;SC Internacional;MD, M (C);31/12/2027;29/12/2025;7-10;11;1-3;2-6;18;MD, M (C);Pé Direito;Brasil;1,75 m;;30/5/2007;M (C);Média;;Vasco da Gama;;;2000380240;10;9;4-8;11;8-11;6-10;7;8;7-10;10;7;8-12;8-11;6-9;7;8;11;10;7;6-9;11-15;11;11;11;8-11;12;11-15;8;9;7;6-10;6-9;8-12;9-13;1-3;1-3;2-6;1-3;2-5;2-6;1-4
;Diego Esser;BRA;SC Internacional;GR;31/12/2027;30/12/2024;-;-;8-14;4-13;20;GR;Pé Preferido Desconhecido;Brasil;1,94 m;Santa Catarina;13/4/2005;GR;Abaixo da Média;;-;;;2000497901;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5-11;10-18;8-15;-;6-13;-;8-14
;Diego Fernandes;BRA;Atlético Mineiro;GR;31/12/2027;1/5/2023;-;-;1-9;4-10;21;GR;Pé Preferido Desconhecido;Brasil;1,97 m;Minas Gerais;31/8/2004;GR;Abaixo da Média;;-;;;2000136136;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11-19;11-16;10-15;-;10-16;-;10-18
For;Diego Minete;BRA;Vasco da Gama;PL (C);31/12/2026;30/12/2024;11;13;3;2;16;PL (C);Pé Esquerdo;Brasil;1,83 m;Espírito Santo;27/1/2009;PL (C);Abaixo da Média;;-;Itália;;2000481549;10;5;6;9;7;5;9;10;9;10;12;10;7;9;9;9;12;10;11;11;11;12;9;9;7;9;11;7;10;13;11;10;11;10;3;1;2;2;1;2;1
;Diego Santos;BRA;Santos;D (C);31/1/2027;28/3/2025;-;-;-;-;19;D (C);Pé Preferido Desconhecido;Brasil;1,89 m;;7/12/2006;D (C);Média;;-;;;2000293250;-;9-17;-;-;6-15;-;-;6-14;-;1-7;-;-;-;-;4-10;-;-;-;7-16;-;-;-;-;-;10-17;-;-;-;-;9-15;-;-;-;-;-;-;-;-;-;-;-
;Diego Santos;BRA;EC Bahia;D (C);31/12/2026;22/9/2025;-;-;-;-;17;D (C);Pé Preferido Desconhecido;Brasil;1,91 m;Bahia;15/2/2008;D (C);Alta;;-;;;2000442654;-;9-17;-;-;3-13;-;-;2-10;-;4-10;-;-;-;-;5-11;-;-;-;4-14;-;-;-;-;-;6-14;-;-;-;-;13-19;-;-;-;-;-;-;-;-;-;-;-
;Dieguinho;BRA;Corinthians;MO (DC);31/12/2029;20/10/2025;-;-;-;-;18;MO (DC);Pé Preferido Desconhecido;Brasil;1,71 m;São Paulo;16/9/2007;MO (D);Abaixo da Média;;-;;;2000480667;-;-;-;9-15;-;-;-;-;-;8-16;7-16;7-16;7-13;-;-;-;6-13;-;-;-;7-16;11-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
